episode,sim_step,time_sec,shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,left_driver_joint,left_spring_link_joint,left_follower,right_driver_joint,right_spring_link_joint,right_follower_joint,grasp_box_free.px,grasp_box_free.py,grasp_box_free.pz,grasp_box_free.qw,grasp_box_free.qx,grasp_box_free.qy,grasp_box_free.qz,target_a_shoulder_pan,ctrl_a_shoulder_pan,target_a_shoulder_lift,ctrl_a_shoulder_lift,target_a_elbow,ctrl_a_elbow,target_a_wrist_1,ctrl_a_wrist_1,target_a_wrist_2,ctrl_a_wrist_2,target_a_wrist_3,ctrl_a_wrist_3,target_a_gripper,ctrl_a_gripper
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52171,0.00831,0.035,1.0,0.0,0.0,0.0,-1.5708,-1.5708,-1.5708,-1.5708,1.5708,1.5708,-1.5708,-1.5708,-1.5708,-1.5708,0.0,0.0,0.0,0.0
1,1,0.02,-0.0076,-0.00796,0.01441,-0.01229,-0.01253,2e-05,0.4007,0.40542,0.39917,0.40075,0.40576,0.39921,0.52171,0.00831,0.03284,1.0,0.0,0.0,0.0,-0.03142,-0.03142,-0.03142,-0.03142,0.03142,0.03142,-0.03142,-0.03142,-0.03142,-0.03142,0.0,0.0,255.0,255.0
1,2,0.04,-0.02539,-0.02425,0.0364,-0.03236,-0.03275,4e-05,0.82417,0.82439,0.82401,0.82461,0.82544,0.82415,0.52171,0.00831,0.02676,1.0,0.0,0.0,0.0,-0.06283,-0.06283,-0.06283,-0.06283,0.06283,0.06283,-0.06283,-0.06283,-0.06283,-0.06283,0.0,0.0,255.0,255.0
1,3,0.06,-0.05055,-0.04734,0.06189,-0.05709,-0.05747,6e-05,0.84602,0.82741,0.85218,0.84655,0.82908,0.85293,0.52171,0.00831,0.01675,1.0,0.0,0.0,0.0,-0.09425,-0.09425,-0.09425,-0.09425,0.09425,0.09425,-0.09425,-0.09425,-0.09425,-0.09425,0.0,0.0,255.0,255.0
1,4,0.08,-0.07978,-0.07476,0.08926,-0.08463,-0.08487,5e-05,0.84413,0.82828,0.86164,0.84491,0.83,0.86155,0.52171,0.00831,0.00282,1.0,0.0,0.0,0.0,-0.12566,-0.12566,-0.12566,-0.12566,0.12566,0.12566,-0.12566,-0.12566,-0.12566,-0.12566,0.0,0.0,255.0,255.0
1,5,0.1,-0.1108,-0.10453,0.11787,-0.11379,-0.11389,3e-05,0.84392,0.82824,0.86212,0.84477,0.83007,0.86177,0.52171,0.00831,-0.01503,1.0,0.0,0.0,0.0,-0.15708,-0.15708,-0.15708,-0.15708,0.15708,0.15708,-0.15708,-0.15708,-0.15708,-0.15708,0.0,0.0,255.0,255.0
1,6,0.12,-0.14241,-0.13537,0.1474,-0.14388,-0.14388,2e-05,0.84392,0.82823,0.86221,0.84481,0.83011,0.86182,0.52171,0.00831,-0.03681,1.0,0.0,0.0,0.0,-0.1885,-0.1885,-0.1885,-0.1885,0.1885,0.1885,-0.1885,-0.1885,-0.1885,-0.1885,0.0,0.0,255.0,255.0
1,7,0.14,-0.17411,-0.16661,0.17761,-0.17452,-0.17444,1e-05,0.84399,0.8283,0.86235,0.84489,0.83019,0.86189,0.52171,0.00831,-0.06251,1.0,0.0,0.0,0.0,-0.21991,-0.21991,-0.21991,-0.21991,0.21991,0.21991,-0.21991,-0.21991,-0.21991,-0.21991,0.0,0.0,255.0,255.0
1,8,0.16,-0.20574,-0.19798,0.20828,-0.20547,-0.20536,0.0,0.8439,0.82821,0.86228,0.84481,0.83013,0.86176,0.52171,0.00831,-0.09214,1.0,0.0,0.0,0.0,-0.25133,-0.25133,-0.25133,-0.25133,0.25133,0.25133,-0.25133,-0.25133,-0.25133,-0.25133,0.0,0.0,255.0,255.0
1,9,0.18,-0.23729,-0.22936,0.23926,-0.2366,-0.23649,0.0,0.84392,0.82825,0.86233,0.84484,0.83017,0.86179,0.52171,0.00831,-0.12569,1.0,0.0,0.0,0.0,-0.28274,-0.28274,-0.28274,-0.28274,0.28274,0.28274,-0.28274,-0.28274,-0.28274,-0.28274,0.0,0.0,255.0,255.0
1,10,0.2,-0.26879,-0.26075,0.27043,-0.26785,-0.26775,-0.0,0.84398,0.82829,0.86237,0.84489,0.83019,0.86188,0.52171,0.00831,-0.16316,1.0,0.0,0.0,0.0,-0.31416,-0.31416,-0.31416,-0.31416,0.31416,0.31416,-0.31416,-0.31416,-0.31416,-0.31416,0.0,0.0,255.0,255.0
1,11,0.22,-0.30025,-0.29215,0.3017,-0.29916,-0.29907,-0.0,0.8439,0.82824,0.86232,0.84481,0.83015,0.8618,0.52171,0.00831,-0.20456,1.0,0.0,0.0,0.0,-0.34558,-0.34558,-0.34558,-0.34558,0.34558,0.34558,-0.34558,-0.34558,-0.34558,-0.34558,0.0,0.0,255.0,255.0
1,12,0.24,-0.33171,-0.32356,0.33304,-0.33051,-0.33044,-1e-05,0.84388,0.82819,0.86228,0.84479,0.83011,0.86172,0.52171,0.00831,-0.24988,1.0,0.0,0.0,0.0,-0.37699,-0.37699,-0.37699,-0.37699,0.37699,0.37699,-0.37699,-0.37699,-0.37699,-0.37699,0.0,0.0,255.0,255.0
1,13,0.26,-0.36316,-0.35498,0.36442,-0.36188,-0.36183,-1e-05,0.84396,0.82825,0.86234,0.84485,0.83015,0.86179,0.52171,0.00831,-0.29913,1.0,0.0,0.0,0.0,-0.40841,-0.40841,-0.40841,-0.40841,0.40841,0.40841,-0.40841,-0.40841,-0.40841,-0.40841,0.0,0.0,255.0,255.0
1,14,0.28,-0.39461,-0.38641,0.39581,-0.39326,-0.39324,-1e-05,0.844,0.8283,0.8624,0.84489,0.8302,0.86186,0.52171,0.00831,-0.3523,1.0,0.0,0.0,0.0,-0.43982,-0.43982,-0.43982,-0.43982,0.43982,0.43982,-0.43982,-0.43982,-0.43982,-0.43982,0.0,0.0,255.0,255.0
1,15,0.3,-0.42605,-0.41785,0.42722,-0.42466,-0.42466,-1e-05,0.84395,0.82826,0.86235,0.84483,0.83014,0.8618,0.52171,0.00831,-0.40939,1.0,0.0,0.0,0.0,-0.47124,-0.47124,-0.47124,-0.47124,0.47124,0.47124,-0.47124,-0.47124,-0.47124,-0.47124,0.0,0.0,255.0,255.0
1,16,0.32,-0.4575,-0.4493,0.45863,-0.45605,-0.45608,-1e-05,0.84397,0.82829,0.86239,0.84485,0.83016,0.86182,0.52171,0.00831,-0.47041,1.0,0.0,0.0,0.0,-0.50266,-0.50266,-0.50266,-0.50266,0.50266,0.50266,-0.50266,-0.50266,-0.50266,-0.50266,0.0,0.0,255.0,255.0
1,17,0.34,-0.48894,-0.48076,0.49004,-0.48745,-0.48751,-1e-05,0.84403,0.82833,0.86244,0.8449,0.83019,0.86191,0.52171,0.00831,-0.53535,1.0,0.0,0.0,0.0,-0.53407,-0.53407,-0.53407,-0.53407,0.53407,0.53407,-0.53407,-0.53407,-0.53407,-0.53407,0.0,0.0,255.0,255.0
1,18,0.36,-0.52038,-0.51223,0.52146,-0.51886,-0.51893,-1e-05,0.84403,0.82837,0.86246,0.8449,0.83021,0.86194,0.52171,0.00831,-0.60422,1.0,0.0,0.0,0.0,-0.56549,-0.56549,-0.56549,-0.56549,0.56549,0.56549,-0.56549,-0.56549,-0.56549,-0.56549,0.0,0.0,255.0,255.0
